original_name,lake,county,notes,,,,,
Mojave Narrows,Mojave Narrows Regional Park,San Bernardino,,,,,,
Mojave Narrows Regional Park,Mojave Narrows Regional Park,San Bernardino,,,,,,
NA,NA,NA,,,,,,
No answer,No answer,NA,,,,,,
No Answer,No answer,NA,,,,,,
Otay Lake,Otay Lakes County Park,San Diego,,,,,,
Otay Lakes County Park,Otay Lakes County Park,San Diego,,,,,,
Peck,Peck Road ,Los Angeles,,,,,,
Peck Road,Peck Road,Los Angeles,,,,,,
Peck  Road,Peck Road,Los Angeles,,,,,,
Peck road,Peck Road,Los Angeles,,,,,,
Perris,Lake Perris,Riverside,,,,,,
Perris Reservoir,Lake Perris,Riverside,,,,,,
Perris Resevoir,Lake Perris,Riverside,,,,,,
Piru,Lake Piru,Ventura,,,,,,
Piru Lake,Lake Piru,Ventura,,,,,,
Polliwog Park,Polliwog Park,Los Angeles,,,,,,
Prado Dam,Prado Dam,San Bernardino,,,,,,
Prado,Prado Dam,San Bernardino,,,,,,
Pryamid Lake,Pyramid lake,Los Angeles,,,,,,
Puddingstone,Puddingstone reservoir,Los Angeles,,,,,,
Puddingstone Lake,Puddingstone reservoir,Los Angeles,,,,,,
Puddingstone reservoir,Puddingstone reservoir,Los Angeles,,,,,,
Puddinstone,Puddingstone reservoir,Los Angeles,,,,,,
Puddingstone Lake (Frank G Bonelli Regional Park),Puddingstone reservoir,Los Angeles,,,,,,
Puddinstone reservoir,Puddingstone reservoir,Los Angeles,,,,,,
puddingstone,Puddingstone reservoir,Los Angeles,,,,,,
Pyramid,Pyramid lake,Los Angeles,,,,,,
Pyramid Lake,Pyramid lake,Los Angeles,,,,,,
Pyramid lake,Pyramid lake,Los Angeles,,,,,,
Quail Lake,Quail Lake,Los Angeles,,,,,,
Ralph B. Clark Regional Park,Ralph B. Clark Regional Park lake,Orange,,,,,,
Ralph B. Clark Regional Park lake,Ralph B. Clark Regional Park lake,Orange,,,,,,
RalphÂ B.Â ClarkÂ RegionalÂ Park lake,Ralph B. Clark Regional Park lake,Orange,,,,,,
Rancho Santa Margarita,Rancho Santa Margarita Lake,Orange,,,,,,
Rancho Santa Margarita Lake,Rancho Santa Margarita Lake,Orange,,,,,,
RanchoÂ SantaÂ Margarita Lake,Rancho Santa Margarita Lake,Orange,,,,,,
Reseda Park Lake,Reseda Park Lake,Los Angeles,,,,,,
San Dimas,Puddingstone reservoir,Los Angeles,This is probably the right match,,,,,
San Gabriel Canyon,No match,,,,,,,
Sant Fe Dam,Santa Fe Dam lake,Los Angeles,,,,,,
Santa Ana River Lakes,Santa Ana River Lakes,Private lake - Anaheim,,,,,,
Santa Ana river lakes,Santa Ana River Lakes,Private lake - Anaheim,,,,,,
Santa Fe,Santa Fe Dam lake,Los Angeles,,,,,,
Santa Fe Dam,Santa Fe Dam lake,Los Angeles,,,,,,
Santa Fe dam,Santa Fe Dam lake,Los Angeles,,,,,,
Santa Fe Dam lake,Santa Fe Dam lake,Los Angeles,,,,,,
Santa Fe Dam  lake,Santa Fe Dam lake,Los Angeles,,,,,,
Santa Fe Dam Lake,Santa Fe Dam lake,Los Angeles,,,,,,
Santa Fe dam lake,Santa Fe Dam lake,Los Angeles,,,,,,
Sante Fe Dam,Santa Fe Dam lake,Los Angeles,,,,,,
Sante Fe Dam Lake,Santa Fe Dam lake,Los Angeles,,,,,,
Sante Fe Dam lake,Santa Fe Dam lake,Los Angeles,,,,,,
Sant Fe Dam lake,Santa Fe Dam lake,Los Angeles,,,,,,
Secombe Lake,Seccombe Lake Park,San Bernardino,,,,,,
Silverwood,Silverwood Lake,San Bernardino,,,,,,
